,时间,识别号,胜负退,阵线,数量
658,93000140,375649,S,139900,1000
659,93000140,375655,B,140000,1300
660,93000140,375781,B,140000,100
661,93000140,375877,B,139800,800
662,93000140,375911,B,135000,800
663,93000140,375916,B,137500,100
664,93000140,375940,S,139700,1000
665,93000140,375953,B,150000,500
666,93000140,375956,B,140000,3700
667,93000140,375974,B,140000,100
668,93000140,376034,B,141000,1300
669,93000140,376098,B,140200,500
670,93000140,376102,B,140600,400
671,93000140,376125,B,136800,15400
672,93000150,60925,C,136000,5000
673,93000150,246225,C,149600,200
674,93000150,295536,C,141000,7500
675,93000150,376217,B,140200,1000
676,93000150,376252,B,136000,1900
677,93000150,376258,B,140200,900
678,93000150,376371,B,139900,5300
679,93000150,376386,S,139900,100
680,93000150,376415,B,136000,5000
681,93000150,376441,S,139500,2800
682,93000150,376457,B,141500,600
683,93000150,376495,B,140500,100
684,93000150,376606,B,139800,2000
685,93000150,376665,B,136100,200
686,93000150,376691,B,163200,3000
687,93000150,376708,B,138800,1000
688,93000150,376721,B,141000,1000
689,93000150,376825,B,141300,100
690,93000150,376877,B,131600,400
691,93000150,377016,B,135300,400
692,93000150,377066,B,140100,400
693,93000150,377100,B,140000,100
694,93000150,377147,S,150000,4000
695,93000150,377180,B,139400,100
696,93000150,377367,B,140000,5600
697,93000150,377531,S,139900,1000
698,93000150,377589,B,126500,400
699,93000150,377602,S,146000,1700
700,93000150,377619,B,140000,700
701,93000150,377702,S,140000,700
702,93000150,377745,B,135600,1600
703,93000150,377927,B,140000,800
704,93000160,269551,C,145000,2000
705,93000160,287849,C,140100,2000
706,93000160,290706,C,140600,400
707,93000160,297834,C,140800,2900
708,93000160,303547,C,140000,11900
709,93000160,377972,B,140000,100
710,93000160,377981,B,140300,200
711,93000160,378043,B,141200,7100
712,93000160,378085,S,163000,1000
713,93000160,378212,B,140200,3900
714,93000160,378270,B,140000,8000
715,93000160,378289,S,139800,500
716,93000160,378354,B,140000,27900
717,93000160,378370,S,140000,1000
718,93000160,378383,S,108800,500
719,93000160,378389,B,140100,500
720,93000160,378430,B,140100,1500
721,93000160,378445,B,140000,1000
722,93000160,378462,B,130000,2000
723,93000160,378470,B,136500,2000
724,93000160,378523,B,140000,1000
725,93000160,378541,B,130000,2000
726,93000160,378548,B,140000,100
727,93000160,378689,S,139900,1000
728,93000160,378739,S,140000,3500
729,93000160,378829,B,136300,10000
730,93000160,378864,B,140400,4100
731,93000160,378906,B,140400,500
732,93000160,378920,B,142800,1000
733,93000160,378928,B,138000,100
734,93000160,378994,S,152500,100
735,93000160,379129,B,136000,40000
736,93000160,379129,C,136000,40000
737,93000160,379159,B,140000,100
738,93000160,379201,B,138300,300
739,93000160,379208,B,141900,700
740,93000160,379265,B,138200,100
741,93000160,379278,B,140000,500
742,93000160,379290,B,141500,300
743,93000160,379319,B,140000,1500
744,93000160,379325,B,130000,1000
745,93000160,379460,B,140000,1200
746,93000160,379478,B,140000,1200
747,93000160,379572,S,142600,600
748,93000160,379607,B,130000,1000
749,93000160,379664,B,139000,1300
750,93000160,379706,B,140000,300
751,93000160,379740,B,141000,1000
752,93000160,379747,B,135800,200
